CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
0009569804,F,55,S & S East,C,01/06/1990,0,South East,Tin,0,12,8,2,23.68,38.26,26.99,13.03
0009570012,F,72,East,C,25/08/1993,2000,Midlands,Silver,1,11,5,4,28.71,30.02,26.81,14.35
0009570578,F,49,C Scotland,F,20/12/1991,1000,Scottish,Silver,1,9,7,1,19.77,50.10,28.59,11.75
0009571213,M,79,,D,11/02/1994,3000,,Silver,0,14,5,5,48.96,26.46,18.15,6.62
0009571914,F,37,N West,D,09/03/1994,4000,North,Silver,0,4,4,8,31.20,34.84,25.29,13.02
0009572287,F,42,London,A,22/12/1995,3000,South East,Silver,0,6,3,4,34.74,20.35,15.14,13.09
0009572570,U,57,East,D,01/07/1990,0,Midlands,Tin,0,5,8,2,11.56,17.82,24.06,16.12
0009572627,,60,London,D,08/09/1993,2000,South East,Silver,0,7,5,6,27.72,27.82,19.33,13.01
0009572872,M,54,Midlands,D,05/05/1989,6000,Midlands,Gold,0,8,9,3,39.51,38.36,34.35,8.74
0009573356,M,54,London,D,20/01/1994,0,South East,Tin,0,10,5,1,31.13,23.26,29.67,5.08
0009574042,U,48,East,C,22/05/1997,5000,Midlands,Silver,0,7,1,8,16.36,12.41,32.95,18.06
0009574980,M,55,London,B,31/08/1993,2200,South East,Silver,0,5,5,2,15.60,35.86,24.96,6.70
0009576843,M,35,London,F,01/06/1990,0,South East,Tin,0,5,8,1,30.57,54.44,8.71,7.95
0009577467,F,75,Yorkshire,A,31/01/1980,3000,North,Silver,0,6,19,4,26.08,39.46,12.70,11.33
0009577637,U,45,N West,B,07/04/1994,0,North,Tin,0,5,4,8,33.32,7.96,12.07,19.47
0009579133,M,63,N Scot,B,10/01/1991,12000,Scottish,Gold,0,7,8,4,11.75,27.15,16.76,9.52
0009579532,F,51,London,D,08/11/1993,0,South East,Tin,1,17,5,3,32.80,31.39,23.61,6.23
0009579702,,57,London,A,08/03/1988,2000,South East,Silver,0,11,10,8,22.54,32.75,14.71,14.01
0009579818,F,53,East,F,01/03/1990,0,Midlands,Tin,0,6,8,8,22.50,33.12,8.96,16.35
0009579877,F,45,London,D,21/10/1992,0,South East,Tin,0,2,6,2,27.63,41.67,19.33,12.32
0009579958,M,40,London,E,,0,South East,Tin,0,8,,2,18.91,32.33,22.10,7.95
0009580794,M,52,London,A,01/02/1990,0,South East,Tin,0,15,9,2,14.59,46.13,24.54,4.86
0009581103,M,69,Midlands,C,30/03/1996,5000,Midlands,Silver,1,12,2,2,30.19,33.85,30.15,4.76
0009582274,F,39,Midlands,E,07/02/1994,0,Midlands,Tin,0,11,5,2,27.36,29.96,3.97,13.09
0009582428,M,,London,C,17/01/1994,0,South East,Silver,0,8,5,2,22.64,43.74,53.29,5.72
0009584005,F,35,Midlands,B,04/08/1993,1500,Midlands,Silver,1,,5,5,37.01,31.71,13.05,12.94
0009584420,F,41,London,A,01/06/1994,2200,South East,Silver,1,12,4,2,20.04,20.40,21.57,11.79
0009585834,F,39,East,D,23/08/1988,0,Midlands,Tin,1,,10,4,25.52,42.22,17.82,14.41
0009587519,,,N West,C,07/05/1996,6000,North,Gold,0,6,2,,17.25,27.89,22.85,10.44
0009588027,F,59,S & S East,B,03/01/1991,3000,South East,Silver,1,10,8,2,24.86,29.09,19.87,10.82
0009588558,M,55,Midlands,D,04/03/1993,6000,Midlands,Gold,0,6,5,6,31.30,42.07,29.54,3.74
0009590390,U,47,Wales & West,C,05/04/1989,10400,Midlands,Gold,0,9,9,6,10.08,1.83,15.61,5.15
0009590846,F,,East,F,10/02/1990,17300,Midlands,Gold,0,5,9,6,25.15,21.40,13.46,9.12
0009591141,M,66,East,E,17/02/1993,5500,Midlands,Gold,0,13,6,7,29.04,35.37,22.03,4.95
0009591664,F,,London,E,02/01/1991,12000,South East,Gold,0,9,8,7,30.54,30.59,17.63,11.92
0009592458,F,,Yorkshire,E,13/09/1993,0,North,Tin,1,13,5,5,25.14,24.57,28.11,8.05
0009594817,F,46,Midlands,F,20/09/1993,0,Midlands,Tin,0,13,5,4,36.67,20.58,12.71,9.92
0009595821,F,35,London,F,12/11/1990,0,South East,Tin,1,15,8,1,33.23,27.98,31.92,9.95
0009596836,F,62,Yorkshire,D,10/11/1994,10000,North,Gold,1,7,4,8,10.75,27.36,24.41,15.40
0009597247,F,,London,B,01/02/1990,1300,South East,Silver,1,19,9,4,16.73,31.75,17.95,13.54
0009597328,F,36,London,E,29/05/1997,500,South East,Silver,1,7,1,8,35.32,27.47,34.43,10.65
0009597727,U,61,N West,B,22/03/1990,4872,North,Silver,0,12,8,6,17.92,13.25,19.96,25.47
0009598375,,38,N West,C,22/02/1994,0,North,Tin,1,6,5,7,19.37,22.78,12.00,10.14
0009598952,U,77,London,B,15/04/1991,1250,South East,Silver,0,7,7,3,12.41,11.00,24.35,21.09
0009599436,F,51,Midlands,F,21/12/1993,0,Midlands,Tin,1,15,5,3,37.50,24.74,22.54,13.40
0009602151,F,53,N West,B,02/04/1991,3053,North,Silver,0,2,7,6,27.73,27.27,22.44,11.18
0009602925,M,49,London,E,18/11/1994,0,South East,Tin,0,11,4,4,27.51,28.19,8.86,7.39
0009603220,F,66,London,B,09/06/1967,0,South East,Tin,0,12,31,6,24.20,37.30,16.91,10.86
0009604634,M,78,Yorkshire,C,26/10/1993,3000,North,Silver,0,4,5,2,17.80,46.29,14.10,5.50
0009606971,F,60,N West,B,10/11/1993,0,North,Tin,0,5,5,5,21.82,20.27,9.76,6.57
0009607730,M,68,S & S East,C,01/02/1990,1600,South East,Silver,0,6,9,4,39.47,38.19,32.73,6.16
0009608788,M,48,East,F,25/02/1994,420,Midlands,Silver,0,9,4,1,19.69,53.30,9.91,8.55
0009608915,F,55,N East,B,23/02/1993,2000,North,Silver,0,8,6,3,16.50,25.22,22.74,8.45
0009609903,M,66,S West,C,08/11/1994,20000,South West,Gold,0,7,4,8,21.05,47.00,16.86,10.69
0009609989,F,69,East,C,09/11/1994,13025,Midlands,Gold,0,7,4,4,30.63,26.49,29.18,10.46
0009610847,F,50,S & S East,C,15/03/1985,25000,South East,Platinum,0,9,13,3,26.92,24.43,13.50,15.09
0009614613,M,51,S West,D,12/01/1994,0,South West,Tin,0,8,5,8,40.89,61.18,22.56,1.92
0009615083,F,52,London,B,04/02/1994,4000,South East,Silver,0,12,5,2,27.81,35.77,18.53,13.28
0009617078,M,31,Yorkshire,C,21/12/1993,0,North,Tin,0,6,5,7,18.88,40.30,31.59,7.51
0009618562,F,,East,F,04/02/1994,0,Midlands,Tin,1,9,5,6,19.08,30.04,19.05,11.79
0009621091,F,44,S & S East,A,01/06/1990,0,South East,Tin,0,5,8,8,33.04,32.64,27.03,10.93
0009624422,F,52,London,F,01/03/1990,0,South East,Tin,1,8,8,2,14.20,33.31,13.24,14.21
0009624562,F,64,Midlands,C,16/04/1969,12315,Midlands,Gold,0,6,29,4,31.17,26.30,23.96,11.84
0009626786,F,54,London,D,01/01/1990,300,South East,Silver,1,8,9,1,22.16,35.58,25.26,13.73
0009627375,F,59,East,B,01/04/1993,0,Midlands,Tin,0,7,5,3,27.80,28.99,29.74,12.07
0009627812,F,,N West,F,22/03/1996,3000,North,Silver,1,,2,1,32.23,27.04,30.98,15.39
0009628126,M,55,N West,B,29/03/1996,3000,North,Silver,1,17,2,6,17.52,20.88,12.08,5.02
0009629335,,68,Midlands,F,19/02/1986,1250,Midlands,Silver,0,10,13,2,27.44,28.94,7.38,14.62
0009629963,F,29,N Scot,E,13/11/1993,0,Scottish,Tin,1,11,5,2,31.97,28.67,25.76,9.75
0009630546,F,73,London,D,22/05/1991,3027,South East,Silver,0,6,7,5,26.30,25.96,26.29,9.20
0009631445,F,33,,D,27/03/1997,6000,,Gold,1,23,1,8,25.04,19.90,11.18,9.90
0009632247,,59,N West,B,30/10/1995,3000,North,Silver,0,6,3,2,30.90,32.86,13.10,10.42
0009634630,F,58,Midlands,B,23/09/1997,6000,Midlands,Gold,1,10,1,6,17.09,20.29,24.39,15.25
0009634770,M,72,Yorkshire,E,05/09/1988,0,North,Tin,0,,10,5,37.83,27.23,21.54,2.82
0009636129,F,58,Midlands,E,28/09/1994,0,Midlands,Tin,1,14,4,8,21.88,27.92,3.99,8.87
0009636773,F,78,London,C,12/02/1987,18000,South East,Gold,0,9,12,3,41.56,45.48,18.07,12.63
0009637419,M,52,London,D,20/10/1983,6000,South East,Gold,0,11,15,6,33.17,50.95,31.73,10.94
0009638083,F,33,S & S East,B,14/10/1994,0,South East,Tin,1,5,4,5,34.36,30.40,11.71,16.45
0009639713,U,27,C Scotland,E,28/05/1992,840,Scottish,Silver,0,6,6,5,7.69,2.37,9.37,15.15
0009639810,M,42,Midlands,D,29/01/1994,0,Midlands,Silver,0,,5,7,24.35,49.90,28.75,4.82
0009640002,F,68,S West,E,01/02/1990,0,South West,Silver,1,6,9,4,34.46,22.44,21.83,12.46
0009640363,F,66,Midlands,A,30/05/1996,6000,Midlands,Gold,1,5,2,4,35.54,24.11,9.54,12.68
0009641688,M,49,,E,21/09/1993,0,,Tin,0,6,5,5,41.37,45.76,31.72,5.52
0009643095,F,60,Yorkshire,B,18/10/1993,1000,North,Silver,0,10,5,1,26.02,24.42,15.83,13.25
0009644369,,49,London,A,28/09/1989,2000,South East,Silver,0,9,9,8,24.09,28.22,20.27,12.75
0009645012,,45,London,A,01/06/1990,0,South East,Tin,0,4,8,6,31.31,19.13,9.99,14.81
0009646531,F,54,S & S East,F,02/02/1994,0,South East,Tin,0,8,5,7,35.40,24.13,4.99,11.35
0009646655,F,45,,F,06/01/1994,0,,Tin,0,3,5,2,33.96,36.12,21.26,12.49
0009646825,F,51,Midlands,E,26/03/1997,6000,Midlands,Gold,0,9,1,7,22.53,36.27,16.62,12.58
0009648127,F,45,S & S East,C,25/06/1996,50,South East,Silver,0,9,2,3,39.28,15.78,15.24,9.93
0009649115,M,41,Yorkshire,F,10/02/1994,0,North,Tin,0,4,5,5,22.53,21.94,41.37,4.45
0009650024,F,75,N East,D,28/09/1994,1100,North,Silver,0,5,4,2,22.20,39.51,15.29,11.97
0009651144,M,47,London,F,10/05/1990,0,South East,Tin,0,9,8,5,31.73,37.37,24.18,4.41
0009651357,F,60,S & S East,F,20/06/1990,1560,South East,Silver,0,9,8,8,20.65,41.42,18.44,9.49
0009651845,M,,East,C,03/02/1992,6053,Midlands,Gold,0,7,7,7,20.69,32.04,11.39,6.13
0009653716,M,54,N Scot,B,25/01/1993,20000,Scottish,Gold,0,12,6,3,27.30,33.70,17.87,9.25
0009656774,M,57,East,C,12/04/1994,1000,Midlands,Silver,0,16,4,3,33.79,30.07,19.04,2.18
0009658718,F,62,Midlands,E,15/07/1991,25457,Midlands,Platinum,0,7,7,5,39.51,40.88,14.68,15.40
0009658831,U,74,Midlands,F,15/05/1996,5000,Midlands,Silver,0,7,2,1,8.91,5.67,30.57,17.88
0009661352,F,52,London,E,10/01/1991,12000,South East,Gold,0,6,8,7,23.90,21.42,17.62,15.48
0009662448,F,54,London,D,22/03/1994,0,South East,Tin,0,4,4,8,24.24,38.21,25.19,15.24
0009663215,M,54,Yorkshire,F,02/10/1990,0,North,Tin,0,10,8,5,20.55,41.65,24.02,9.52
0009664378,F,31,N West,F,06/04/1988,117,North,Silver,0,8,10,5,13.52,23.54,18.28,12.93
0009664564,F,53,S & S East,C,01/05/1990,0,South East,Tin,0,8,8,1,16.38,39.56,29.69,10.11
0009665595,F,64,Wales & West,F,24/01/1992,3000,Midlands,Silver,0,10,7,7,25.94,29.65,15.60,12.76
0009665889,F,50,Midlands,B,31/08/1989,34896,Midlands,Platinum,0,6,9,8,19.47,26.63,25.66,12.99
0009668039,U,48,East,F,01/05/1990,0,Midlands,Tin,0,8,8,1,22.65,6.14,13.96,11.10
0009668721,F,68,London,C,28/04/1969,21053,South East,Platinum,0,11,29,6,27.09,24.61,12.29,11.63
0009670904,F,57,London,E,01/02/1991,500,South East,Silver,0,,8,7,21.28,40.04,27.58,13.46
0009671625,F,40,London,C,24/07/1997,1000,South East,Silver,0,3,1,1,34.39,21.30,10.51,14.67
0009672176,M,36,East,F,21/10/1987,0,Midlands,Tin,1,14,11,1,19.85,25.60,24.95,3.47
0009672710,F,77,London,A,22/05/1992,11999,South East,Gold,0,5,6,6,32.87,26.98,6.47,12.16
0009673202,F,73,S & S East,D,07/01/1991,7535,South East,Gold,0,7,8,1,25.51,30.79,20.36,15.13
0009673687,F,43,S West,E,28/03/1990,23043,South West,Platinum,1,11,8,1,37.38,31.60,12.03,11.38
0009673865,F,72,Yorkshire,E,01/11/1987,1680,North,Silver,0,9,11,6,15.38,29.33,23.82,13.78
0009674039,,71,London,A,30/06/1986,65703,South East,Platinum,0,7,12,3,28.02,37.36,19.36,14.69
0009674454,M,51,London,C,18/08/1992,0,South East,Tin,0,12,6,8,38.45,40.23,24.79,9.26
0009674837,F,49,East,E,01/07/1991,0,Midlands,Tin,0,8,7,1,22.66,43.37,31.71,11.84
0009675507,M,76,East,F,01/05/1990,0,Midlands,Tin,0,8,8,2,15.10,25.99,23.91,5.80
0009675795,F,33,Midlands,B,13/03/1996,12000,Midlands,Gold,1,9,2,5,18.06,29.25,14.79,17.50
0009677828,,55,London,A,12/05/1993,6000,South East,Gold,0,6,5,7,26.20,28.22,16.00,13.48
0009678956,,71,Midlands,E,01/06/1990,0,Midlands,Tin,0,6,8,5,27.88,24.48,22.31,9.08
0009679448,U,71,London,F,31/08/1995,3000,South East,Silver,0,8,3,3,23.45,20.38,14.92,3.04
0009680071,,45,N West,F,26/07/1994,6000,North,Gold,0,12,4,2,20.18,39.99,13.88,11.03
0009680500,,42,Border,D,07/09/1995,6000,Scottish,Gold,0,7,3,4,24.87,41.48,13.81,11.54
0009681035,F,64,S & S East,B,01/06/1990,9000,South East,Gold,0,9,8,2,29.73,36.27,14.82,11.81
0009681744,M,51,S & S East,C,15/05/1990,0,South East,Tin,0,5,8,6,18.80,25.80,26.12,5.86
0009683135,F,55,S & S East,C,07/06/1996,6000,South East,Gold,1,15,2,3,25.76,41.11,28.62,12.71
0009683585,F,44,Midlands,C,21/10/1987,60,Midlands,Silver,0,9,11,6,14.12,31.82,28.17,9.74
0009684212,M,65,S West,B,08/07/1991,3000,South West,Silver,0,5,7,2,1.12,28.83,19.86,9.09
0009685383,,75,London,A,01/01/1990,0,South East,Tin,0,10,9,7,11.59,24.10,22.50,11.07
0009685847,F,78,Wales & West,C,21/06/1995,6025,Midlands,Gold,0,8,3,7,36.56,27.10,32.81,8.41
0009686223,M,53,Yorkshire,E,20/02/1990,1700,North,Silver,0,7,9,2,20.10,29.64,17.45,8.70
0009686541,F,65,N East,B,03/04/1997,6000,North,Gold,1,10,1,6,15.59,26.41,28.64,10.40
0009686843,F,61,London,E,24/03/1993,6053,South East,Gold,0,8,5,7,17.44,28.89,2.63,14.76
0009688285,,61,East,D,04/01/1995,10000,Midlands,Gold,0,12,4,7,7.18,20.82,22.31,10.26
0009689710,F,50,S & S East,B,29/03/1993,6000,South East,Gold,1,7,5,2,30.50,32.00,11.51,11.36
0009689834,F,55,London,A,14/11/1997,6000,South East,Gold,0,4,1,1,17.48,30.95,23.22,9.38
0009690409,F,59,London,C,,6053,South East,Gold,0,11,,3,16.26,33.91,24.94,13.06
0009690735,F,43,Midlands,B,01/07/1990,0,Midlands,Tin,1,,8,5,22.50,21.78,21.02,11.21
0009690972,M,50,N West,,14/02/1994,0,North,Tin,0,6,5,8,25.80,18.22,36.46,11.08
0009691650,F,60,East,D,21/08/1997,5000,Midlands,Silver,1,16,1,8,16.09,27.28,19.80,13.12
0009694153,U,,S & S East,B,02/12/1992,5000,South East,Silver,0,10,6,3,13.34,24.53,22.57,22.68
0009704353,F,41,London,C,16/07/1990,0,South East,Tin,0,8,8,6,30.67,29.95,8.24,13.21
0009705260,F,35,S West,C,17/03/1989,0,South West,Tin,1,,9,5,23.14,30.45,28.07,12.72
0009705759,F,37,Wales & West,E,10/01/1991,1000,Midlands,Silver,1,11,8,1,26.95,29.20,24.50,11.67
0009708405,,69,S & S East,B,15/10/1991,6053,South East,Gold,0,10,7,6,29.92,32.78,4.97,14.02
0009710035,F,69,S & S East,E,03/02/1992,6053,South East,Gold,0,7,7,3,27.44,25.88,30.47,11.13
0009710302,F,57,London,D,13/03/1996,10000,South East,Gold,1,10,2,7,21.02,36.46,20.37,14.75
0009710906,F,71,Yorkshire,F,01/07/1990,600,North,Silver,1,,8,2,28.34,20.68,18.89,14.44
0009711163,F,33,C Scotland,F,14/04/1994,0,Scottish,Tin,0,6,4,2,15.53,26.09,9.68,12.70
0009711538,F,67,East,F,10/01/1991,1000,Midlands,Silver,0,6,8,8,16.52,26.41,22.56,12.87
0009712852,F,69,Wales & West,C,29/03/1996,6000,Midlands,Gold,0,2,2,8,21.74,33.02,9.68,13.30
0009713123,M,37,S & S East,F,12/03/1996,3500,South East,Silver,1,9,2,2,36.45,27.16,22.24,7.22
0009713239,F,55,London,C,20/02/1993,1000,South East,Silver,0,,6,5,25.21,34.88,24.06,13.45
0009713433,F,71,London,F,06/12/1996,12000,South East,Gold,0,5,2,6,30.29,25.14,4.36,10.68
0009713700,F,57,N West,D,31/07/1985,3200,North,Silver,0,12,13,2,26.80,36.19,25.10,11.04
0009714545,M,59,S & S East,E,15/02/1980,5282,South East,Gold,0,7,19,5,15.06,31.68,29.90,9.22
0009715061,M,,Wales & West,F,27/10/1994,17500,Midlands,Gold,0,10,4,2,25.81,29.72,28.45,3.54
0009716440,M,47,N West,F,01/08/1990,0,North,Tin,0,5,8,1,28.95,32.94,24.09,6.12
0009716750,F,69,Midlands,B,10/01/1991,11400,Midlands,Gold,0,9,8,2,21.67,25.74,18.73,15.16
0009717153,F,72,Ulster,,31/07/1980,3200,Midlands,Silver,0,9,18,4,34.96,22.57,10.97,15.35
0009718656,F,63,N West,E,29/03/1996,6698,North,Gold,0,8,2,1,34.35,28.72,28.56,13.49
0009718753,,69,Border,F,02/04/1997,6000,Scottish,Gold,0,4,1,4,13.23,28.72,28.86,13.92
0009719105,F,56,Midlands,E,22/07/1992,2000,Midlands,Silver,0,8,6,5,21.81,29.34,23.64,9.87
0009720006,F,34,Midlands,D,01/04/1990,0,Midlands,Tin,1,14,8,7,26.77,32.87,7.25,11.19
0009720235,F,53,Midlands,F,28/08/1996,1000,Midlands,Silver,0,10,2,5,17.69,28.47,21.16,13.20
0009720693,F,52,Yorkshire,A,01/02/1990,0,North,Tin,0,10,9,7,36.47,29.13,15.83,12.18
0009721517,F,55,S West,A,02/06/1994,3000,South West,Silver,0,7,4,4,22.92,29.30,23.48,9.42
0009721886,F,36,London,A,01/02/1990,0,South East,Tin,1,4,9,4,25.90,22.21,13.97,14.11
0009722661,F,52,,C,06/03/1997,2000,,Silver,1,20,1,6,32.94,27.34,15.19,11.33
0009723986,F,25,London,A,15/02/1994,1500,South East,Silver,1,14,5,4,17.39,23.96,27.60,11.72
0009724044,F,76,Wales & West,B,30/06/1987,12000,Midlands,Gold,1,14,11,6,25.15,23.37,7.74,12.55
0009725873,M,,London,C,01/09/1991,0,South East,Tin,0,10,7,2,36.31,25.21,6.01,8.50
0009726004,F,71,London,C,14/01/1991,8250,South East,Gold,0,5,8,4,21.85,36.94,9.79,15.08
0009726403,F,58,London,F,11/11/1992,6000,South East,Gold,1,15,6,3,33.33,25.73,25.32,12.06
0009727957,F,74,S & S East,F,23/06/1993,5000,South East,Silver,0,10,5,6,28.78,28.18,28.26,12.73
0009728813,F,53,London,B,04/02/1994,0,South East,Tin,0,8,5,5,24.60,24.30,39.40,11.22
0009730915,M,69,Midlands,B,27/11/1985,3000,Midlands,Silver,0,6,13,6,17.80,57.91,30.95,6.96
0009731547,,,Midlands,A,09/01/1990,0,Midlands,Tin,1,7,9,,16.11,48.05,11.34,12.31
0009732314,U,65,London,E,31/10/1979,250,South East,Silver,0,4,19,7,30.67,20.01,19.78,15.77
0009732462,,71,Wales & West,C,02/06/1994,1500,Midlands,Silver,0,8,4,8,4.78,22.17,21.57,9.39
0009732683,M,46,London,C,20/09/1989,36194,South East,Platinum,0,5,9,1,7.90,30.32,8.53,8.01
0009734589,F,39,London,C,21/10/1997,5000,South East,Silver,1,11,1,3,30.54,36.75,16.04,8.53
0009735127,F,75,London,A,17/02/1990,3000,South East,Silver,0,9,9,2,24.61,27.51,22.68,7.95
0009736190,F,56,Wales & West,D,28/08/1986,1000,Midlands,Silver,0,4,12,3,28.95,30.11,11.31,10.52
0009737499,F,34,London,E,21/10/1988,5000,South East,Silver,1,15,10,5,16.22,15.51,21.73,13.45
0009738266,M,31,London,F,18/12/1996,12000,South East,Gold,1,11,2,2,25.88,23.72,33.89,7.26
0009739874,M,67,London,B,04/06/1985,12000,South East,Gold,0,7,13,3,25.69,55.37,7.22,6.99
0009740724,F,66,Wales & West,F,04/04/1990,12884,Midlands,Gold,0,8,8,2,18.46,28.02,16.41,8.97
0009742921,F,37,S & S East,C,11/04/1994,0,South East,Tin,1,14,4,3,31.69,31.16,3.69,11.85
0009744916,F,59,London,E,21/03/1994,7500,South East,Gold,0,5,4,6,20.47,32.21,14.21,10.11
0009745211,F,61,London,A,14/03/1980,14000,South East,Gold,0,8,18,4,23.76,30.41,19.19,9.84
0009746544,F,54,S & S East,E,04/10/1993,0,South East,Tin,0,9,5,7,37.30,32.08,26.48,13.19
0009748490,M,55,London,B,,0,South East,Tin,0,7,,1,31.91,41.47,30.81,6.32
0009748989,F,72,London,A,12/12/1996,4000,South East,Silver,0,11,2,8,33.77,19.54,24.49,15.07
0009749292,F,39,London,D,01/03/1991,0,South East,Tin,1,15,7,6,16.97,29.59,15.95,9.41
0009749462,M,76,Wales & West,B,05/02/1993,6000,Midlands,Gold,0,6,6,1,23.30,35.73,15.74,4.49
0009750045,F,49,Wales & West,F,25/06/1990,13659,Midlands,Gold,0,10,8,4,34.16,35.55,23.73,8.22
0009750746,F,63,London,D,24/02/1990,1000,South East,Silver,1,10,9,2,23.97,29.02,14.15,9.86
0009751696,M,48,N West,E,26/10/1993,0,North,Silver,0,13,5,3,27.07,41.85,30.04,6.83
0009752455,F,53,Yorkshire,B,01/06/1990,0,North,Tin,0,3,8,2,33.16,37.68,24.17,12.29
0009752587,F,71,S & S East,B,12/02/1990,1000,South East,Silver,1,8,9,3,28.22,19.92,15.43,11.56
0009753001,U,78,Yorkshire,A,03/04/1990,4884,North,Silver,0,,8,6,12.10,6.31,34.47,6.81
0009753060,M,67,Midlands,D,30/09/1985,2500,Midlands,Silver,0,5,13,4,19.01,39.77,27.10,8.32
0009753826,F,77,N West,D,02/04/1993,5038,North,Gold,0,7,5,1,31.40,21.96,18.58,10.23
0009755721,F,69,C Scotland,C,31/10/1979,3150,Scottish,Silver,0,10,19,5,22.48,27.29,11.39,12.20
0009756531,F,49,Wales & West,F,24/02/1990,3000,Midlands,Silver,0,8,9,7,29.66,26.71,8.17,12.00
0009756817,F,46,S & S East,F,19/05/1980,26000,South East,Platinum,0,5,18,5,38.93,37.96,16.77,14.36
0009757600,F,56,Yorkshire,D,31/10/1995,15000,North,Gold,0,9,3,6,19.14,33.72,27.59,13.69
0009759441,F,,Wales & West,C,01/09/1990,11700,Midlands,Gold,1,,8,8,24.51,37.61,23.60,12.39
0009761586,,41,N East,F,20/09/1993,0,North,Tin,0,9,5,2,34.32,32.25,21.60,13.05
0009762450,F,60,East,E,01/06/1990,0,Midlands,Tin,0,8,8,2,23.64,36.09,25.94,14.56
0009762523,,61,C Scotland,F,14/02/1990,10000,Scottish,Gold,0,1,9,4,17.03,32.23,8.60,13.03
0009764607,F,51,N Scot,F,21/03/1996,2700,Scottish,Silver,1,12,2,5,32.93,38.02,36.26,12.20
0009765204,F,60,N West,B,05/06/1997,6000,North,Gold,0,7,1,6,27.48,37.21,10.89,9.43
0009765492,F,41,London,E,14/03/1994,0,South East,Tin,0,5,4,8,37.10,32.62,23.09,12.40
0009765603,F,,London,B,05/04/1994,3000,South East,Silver,1,12,4,8,27.08,32.69,10.15,11.46
0009771530,F,50,Yorkshire,C,17/11/1992,5554,North,Gold,0,4,6,4,28.59,23.63,24.28,12.66
0009772200,M,31,N East,F,13/05/1994,0,North,Tin,1,15,4,4,23.15,25.46,24.08,6.17
0009772715,,48,Midlands,B,01/04/1990,0,Midlands,Silver,0,4,8,1,20.51,32.36,15.83,14.27
0009774785,M,54,London,B,04/04/1991,6053,South East,Gold,0,3,7,5,9.60,29.58,16.56,10.00
0009774874,U,33,Midlands,,27/05/1994,1000,Midlands,Silver,0,9,4,6,25.47,14.70,28.71,9.47
0009777059,F,39,London,B,28/01/1988,6000,South East,Gold,0,7,11,5,7.24,28.52,22.97,10.94
0009778500,M,60,London,C,08/01/1994,2000,South East,Silver,0,8,5,3,25.24,46.21,0.18,8.00
0009779981,M,68,Yorkshire,F,01/02/1996,9000,North,Gold,0,7,3,1,8.70,44.73,15.55,8.16
0009780610,F,59,S & S East,C,26/04/1996,205,South East,Silver,0,6,2,4,46.12,24.54,14.72,13.96
0009780955,,45,London,B,20/01/1994,600,South East,Silver,0,7,5,3,24.86,36.06,16.27,11.20
0009782125,M,66,N West,E,08/07/1992,6108,North,Gold,0,8,6,4,28.87,16.83,27.37,4.81
0009782672,,,N West,D,24/01/1994,0,North,Tin,1,16,5,,20.36,27.38,13.18,12.02
0009782842,M,47,London,F,29/08/1991,0,South East,Tin,0,8,7,8,22.40,36.71,23.89,6.08
0009783148,,60,Midlands,D,01/02/1994,0,Midlands,Tin,0,11,5,8,21.95,30.97,12.02,11.50
0009783962,M,71,London,F,14/07/1994,6000,South East,Gold,0,10,4,5,29.92,37.67,32.79,7.69
0009785507,M,64,Midlands,B,12/09/1997,6000,Midlands,Gold,0,4,1,4,12.41,26.51,32.31,4.80
0009785620,M,76,East,C,01/07/1990,0,Midlands,Tin,0,8,8,7,21.86,10.45,19.87,8.18
0009786759,,33,S & S East,A,01/09/1991,0,South East,Tin,1,9,7,5,33.73,33.28,15.19,10.18
0009786910,F,49,Midlands,D,24/08/1993,1000,Midlands,Silver,0,11,5,4,29.91,33.91,20.90,16.27
0009788204,M,40,S & S East,E,01/02/1994,0,South East,Tin,0,10,5,1,23.19,49.47,31.64,8.11
0009788271,F,45,N East,C,22/07/1988,0,North,Tin,0,8,10,7,27.92,27.67,16.38,11.51
0009788409,M,35,East,C,23/08/1993,3000,Midlands,Silver,0,2,5,6,5.51,33.49,21.40,5.39
0009788565,M,65,N West,B,16/01/1991,3000,North,Silver,0,9,8,5,25.53,22.80,21.76,6.06
0009788891,F,40,S West,E,14/07/1997,6000,South West,Gold,1,19,1,8,28.73,43.67,13.80,8.86
0009789626,F,36,London,E,14/01/1991,500,South East,Silver,0,8,8,8,36.88,20.89,24.01,12.60
0009791205,M,58,Wales & West,E,15/06/1993,10000,Midlands,Gold,0,8,5,4,17.64,32.85,25.35,8.96
0009791655,F,70,East,F,03/04/1997,6000,Midlands,Gold,0,5,1,3,29.03,27.31,10.92,17.02
0009791957,M,48,S West,E,13/04/1994,0,South West,Tin,0,8,4,5,19.25,51.29,32.61,5.15
0009792783,M,77,C Scotland,A,31/10/1980,18194,Scottish,Gold,1,,18,2,18.85,44.93,14.33,5.80
0009793038,U,47,S & S East,C,01/02/1992,0,South East,Silver,0,7,7,3,22.36,12.37,12.65,6.38
0009794468,M,77,London,B,25/10/1996,6000,South East,Gold,1,4,2,8,33.22,44.41,29.14,8.96
0009795022,U,52,S West,E,29/09/1994,0,South West,Tin,0,6,4,7,13.30,4.62,18.38,15.01
0009795812,F,68,London,F,06/02/1974,6000,South East,Gold,0,9,25,3,43.92,35.61,10.63,12.95
